#Input	Node	Pin	Type	OutputA	OutputB	OutputC	OutputD	OutputE	OutputF
Input	0	0	On_Off	. .	. .	. .	. .	. .	. .
Input	0	1	On_Off	. .	. .	. .	. .	. .	. .
Input	0	2	On_Off	. .	. .	. .	. .	. .	. .
Input	0	3	On_Off	. .	. .	. .	. .	. .	. .
Input	0	4	On_Off	. .	. .	. .	. .	. .	. .
Input	0	5	On_Off	. .	. .	. .	. .	. .	. .
Input	0	6	On_Off	. .	. .	. .	. .	. .	. .
Input	0	7	On_Off	. .	. .	. .	. .	. .	. .
Input	0	8	On_Off	. .	. .	. .	. .	. .	. .
Input	0	9	On_Off	. .	. .	. .	. .	. .	. .
Input	0	A	On_Off	. .	. .	. .	. .	. .	. .
Input	0	B	On_Off	. .	. .	. .	. .	. .	. .
Input	0	C	On_Off	. .	. .	. .	. .	. .	. .
Input	0	D	On_Off	. .	. .	. .	. .	. .	. .
Input	0	E	On_Off	. .	. .	. .	. .	. .	. .
Input	0	F	On_Off	. .	. .	. .	. .	. .	. .

Input	1	0	On_Off	. .	. .	. .	. .	. .	. .
Input	1	1	On_Off	. .	. .	. .	. .	. .	. .
Input	1	2	On_Off	. .	. .	. .	. .	. .	. .
Input	1	3	On_Off	. .	. .	. .	. .	. .	. .
Input	1	4	On_Off	. .	. .	. .	. .	. .	. .
Input	1	5	On_Off	. .	. .	. .	. .	. .	. .
Input	1	6	On_Off	. .	. .	. .	. .	. .	. .
Input	1	7	On_Off	. .	. .	. .	. .	. .	. .
Input	1	8	On_Off	. .	. .	. .	. .	. .	. .
Input	1	9	On_Off	. .	. .	. .	. .	. .	. .
Input	1	A	On_Off	. .	. .	. .	. .	. .	. .
Input	1	B	On_Off	. .	. .	. .	. .	. .	. .
Input	1	C	On_Off	. .	. .	. .	. .	. .	. .
Input	1	D	On_Off	. .	. .	. .	. .	. .	. .
Input	1	E	On_Off	. .	. .	. .	. .	. .	. .
Input	1	F	On_Off	. .	. .	. .	. .	. .	. .

Input	2	0	On_Off	. .	. .	. .	. .	. .	. .
Input	2	1	On_Off	. .	. .	. .	. .	. .	. .
Input	2	2	On_Off	. .	. .	. .	. .	. .	. .
Input	2	3	On_Off	. .	. .	. .	. .	. .	. .
Input	2	4	On_Off	. .	. .	. .	. .	. .	. .
Input	2	5	On_Off	. .	. .	. .	. .	. .	. .
Input	2	6	On_Off	. .	. .	. .	. .	. .	. .
Input	2	7	On_Off	. .	. .	. .	. .	. .	. .
Input	2	8	On_Off	. .	. .	. .	. .	. .	. .
Input	2	9	On_Off	. .	. .	. .	. .	. .	. .
Input	2	A	On_Off	. .	. .	. .	. .	. .	. .
Input	2	B	On_Off	. .	. .	. .	. .	. .	. .
Input	2	C	On_Off	. .	. .	. .	. .	. .	. .
Input	2	D	On_Off	. .	. .	. .	. .	. .	. .
Input	2	E	On_Off	. .	. .	. .	. .	. .	. .
Input	2	F	On_Off	. .	. .	. .	. .	. .	. .

Input	3	0	On_Off	. .	. .	. .	. .	. .	. .
Input	3	1	On_Off	. .	. .	. .	. .	. .	. .
Input	3	2	On_Off	. .	. .	. .	. .	. .	. .
Input	3	3	On_Off	. .	. .	. .	. .	. .	. .
Input	3	4	On_Off	. .	. .	. .	. .	. .	. .
Input	3	5	On_Off	. .	. .	. .	. .	. .	. .
Input	3	6	On_Off	. .	. .	. .	. .	. .	. .
Input	3	7	On_Off	. .	. .	. .	. .	. .	. .
Input	3	8	On_Off	. .	. .	. .	. .	. .	. .
Input	3	9	On_Off	. .	. .	. .	. .	. .	. .
Input	3	A	On_Off	. .	. .	. .	. .	. .	. .
Input	3	B	On_Off	. .	. .	. .	. .	. .	. .
Input	3	C	On_Off	. .	. .	. .	. .	. .	. .
Input	3	D	On_Off	. .	. .	. .	. .	. .	. .
Input	3	E	On_Off	. .	. .	. .	. .	. .	. .
Input	3	F	On_Off	. .	. .	. .	. .	. .	. .

Input	4	0	On_Off	. .	. .	. .	. .	. .	. .
Input	4	1	On_Off	. .	. .	. .	. .	. .	. .
Input	4	2	On_Off	. .	. .	. .	. .	. .	. .
Input	4	3	On_Off	. .	. .	. .	. .	. .	. .
Input	4	4	On_Off	. .	. .	. .	. .	. .	. .
Input	4	5	On_Off	. .	. .	. .	. .	. .	. .
Input	4	6	On_Off	. .	. .	. .	. .	. .	. .
Input	4	7	On_Off	. .	. .	. .	. .	. .	. .
Input	4	8	On_Off	. .	. .	. .	. .	. .	. .
Input	4	9	On_Off	. .	. .	. .	. .	. .	. .
Input	4	A	On_Off	. .	. .	. .	. .	. .	. .
Input	4	B	On_Off	. .	. .	. .	. .	. .	. .
Input	4	C	On_Off	. .	. .	. .	. .	. .	. .
Input	4	D	On_Off	. .	. .	. .	. .	. .	. .
Input	4	E	On_Off	. .	. .	. .	. .	. .	. .
Input	4	F	On_Off	. .	. .	. .	. .	. .	. .

Input	5	0	On_Off	. .	. .	. .	. .	. .	. .
Input	5	1	On_Off	. .	. .	. .	. .	. .	. .
Input	5	2	On_Off	. .	. .	. .	. .	. .	. .
Input	5	3	On_Off	. .	. .	. .	. .	. .	. .
Input	5	4	On_Off	. .	. .	. .	. .	. .	. .
Input	5	5	On_Off	. .	. .	. .	. .	. .	. .
Input	5	6	On_Off	. .	. .	. .	. .	. .	. .
Input	5	7	On_Off	. .	. .	. .	. .	. .	. .
Input	5	8	On_Off	. .	. .	. .	. .	. .	. .
Input	5	9	On_Off	. .	. .	. .	. .	. .	. .
Input	5	A	On_Off	. .	. .	. .	. .	. .	. .
Input	5	B	On_Off	. .	. .	. .	. .	. .	. .
Input	5	C	On_Off	. .	. .	. .	. .	. .	. .
Input	5	D	On_Off	. .	. .	. .	. .	. .	. .
Input	5	E	On_Off	. .	. .	. .	. .	. .	. .
Input	5	F	On_Off	. .	. .	. .	. .	. .	. .

Input	6	0	On_Off	. .	. .	. .	. .	. .	. .
Input	6	1	On_Off	. .	. .	. .	. .	. .	. .
Input	6	2	On_Off	. .	. .	. .	. .	. .	. .
Input	6	3	On_Off	. .	. .	. .	. .	. .	. .
Input	6	4	On_Off	. .	. .	. .	. .	. .	. .
Input	6	5	On_Off	. .	. .	. .	. .	. .	. .
Input	6	6	On_Off	. .	. .	. .	. .	. .	. .
Input	6	7	On_Off	. .	. .	. .	. .	. .	. .
Input	6	8	On_Off	. .	. .	. .	. .	. .	. .
