#Output	Node	Pin	Type	Lo	Hi	Spd	Reset
Output	0	0	None	5A	5A	0C	00
Output	0	1	None	5A	5A	0C	00
Output	0	2	None	5A	5A	0C	00
Output	0	3	None	5A	5A	0C	00
Output	0	4	None	5A	5A	0C	00
Output	0	5	None	5A	5A	0C	00
Output	0	6	None	5A	5A	0C	00
Output	0	7	None	5A	5A	0C	00

Output	1	0	None	5A	5A	0C	00
Output	1	1	None	5A	5A	0C	00
Output	1	2	None	5A	5A	0C	00
Output	1	3	None	5A	5A	0C	00
Output	1	4	None	5A	5A	0C	00
Output	1	5	None	5A	5A	0C	00
Output	1	6	None	5A	5A	0C	00
Output	1	7	None	5A	5A	0C	00

Output	2	0	None	5A	5A	0C	00
Output	2	1	None	5A	5A	0C	00
Output	2	2	None	5A	5A	0C	00
Output	2	3	None	5A	5A	0C	00
Output	2	4	None	5A	5A	0C	00
Output	2	5	None	5A	5A	0C	00
Output	2	6	None	5A	5A	0C	00
Output	2	7	None	5A	5A	0C	00

Output	3	0	None	5A	5A	0C	00
Output	3	1	None	5A	5A	0C	00
Output	3	2	None	5A	5A	0C	00
Output	3	3	None	5A	5A	0C	00
Output	3	4	None	5A	5A	0C	00
Output	3	5	None	5A	5A	0C	00
Output	3	6	None	5A	5A	0C	00
Output	3	7	None	5A	5A	0C	00

Output	4	0	None	5A	5A	0C	00
Output	4	1	None	5A	5A	0C	00
Output	4	2	None	5A	5A	0C	00
Output	4	3	None	5A	5A	0C	00
Output	4	4	None	5A	5A	0C	00
Output	4	5	None	5A	5A	0C	00
Output	4	6	None	5A	5A	0C	00
Output	4	7	None	5A	5A	0C	00

Output	5	0	None	5A	5A	0C	00
Output	5	1	None	5A	5A	0C	00
Output	5	2	None	5A	5A	0C	00
Output	5	3	None	5A	5A	0C	00
Output	5	4	None	5A	5A	0C	00
Output	5	5	None	5A	5A	0C	00
Output	5	6	None	5A	5A	0C	00
Output	5	7	None	5A	5A	0C	00

Output	6	0	None	5A	5A	0C	00
Output	6	1	None	5A	5A	0C	00
Output	6	2	None	5A	5A	0C	00
Output	6	3	None	5A	5A	0C	00
Output	6	4	None	5A	5A	0C	00
Output	6	5	None	5A	5A	0C	00
Output	6	6	None	5A	5A	0C	00
Output	6	7	None	5A	5A	0C	00

Output	7	0	None	5A	5A	0C	00
Output	7	1	None	5A	5A	0C	00
Output	7	2	None	5A	5A	0C	00
Output	7	3	None	5A	5A	0C	00
Output	7	4	None	5A	5A	0C	00
Output	7	5	None	5A	5A	0C	00
Output	7	6	None	5A	5A	0C	00
Output	7	7	None	5A	5A	0C	00

Output	8	0	None	5A	5A	0C	00
Output	8	1	None	5A	5A	0C	00
Output	8	2	None	5A	5A	0C	00
Output	8	3	None	5A	5A	0C	00
Output	8	4	None	5A	5A	0C	00
Output	8	5	None	5A	5A	0C	00
Output	8	6	None	5A	5A	0C	00
Output	8	7	None	5A	5A	0C	00

Output	9	0	None	5A	5A	0C	00
Output	9	1	None	5A	5A	0C	00
Output	9	2	None	5A	5A	0C	00
Output	9	3	None	5A	5A	0C	00
Output	9	4	None	5A	5A	0C	00
Output	9	5	None	5A	5A	0C	00
Output	9	6	None	5A	5A	0C	00
Output	9	7	None	5A	5A	0C	00

Output	A	0	None	5A	5A	0C	00
Output	A	1	None	5A	5A	0C	00
Output	A	2	None	5A	5A	0C	00
Output	A	3	None	5A	5A	0C	00
Output	A	4	None	5A	5A	0C	00
Output	A	5	None	5A	5A	0C	00
Output	A	6	None	5A	5A	0C	00
Output	A	7	None	5A	5A	0C	00

Output	B	0	None	5A	5A	0C	00
Output	B	1	None	5A	5A	0C	00
Output	B	2	None	5A	5A	0C	00
Output	B	3	None	5A	5A	0C	00
Output	B	4	None	5A	5A	0C	00
Output	B	5	None	5A	5A	0C	00
Output	B	6	None	5A	5A	0C	00
Output	B	7	None	5A	5A	0C	00

Output	C	0	None	5A	5A	0C	00
Output	C	1	None	5A	5A	0C	00
Output	C	2	None	5A	5A	0C	00
Output	C	3	None	5A	5A	0C	00
Output	C	4	None	5A	5A	0C	00
Output	C	5	None	5A	5A	0C	00
Output	C	6	None	5A	5A	0C	00
Output	C	7	None	5A	5A	0C	00

Output	D	0	None	5A	5A	0C	00
Output	D	1	None	5A	5A	0C	00
Output	D	2	None	5A	5A	0C	00
Output	D	3	None	5A	5A	0C	00
Output	D	4	None	5A	5A	0C	00
Output	D	5	None	5A	5A	0C	00
Output	D	6	None	5A	5A	0C	00
Output	D	7	None	5A	5A	0C	00

Output	E	0	None	5A	5A	0C	00
Output	E	1	None	5A	5A	0C	00
Output	E	2	None	5A	5A	0C	00
Output	E	3	None	5A	5A	0C	00
Output	E	4	None	5A	5A	0C	00
Output	E	5	None	5A	5A	0C	00
Output	E	6	None	5A	5A	0C	00
Output	E	7	None	5A	5A	0C	00

Output	F	0	None	5A	5A	0C	00
Output	F	1	None	5A	5A	0C	00
Output	F	2	None	5A	5A	0C	00
Output	F	3	None	5A	5A	0C	00
Output	F	4	None	5A	5A	0C	00
Output	F	5	None	5A	5A	0C	00
Output	F	6	None	5A	5A	0C	00
Output	F	7	None	5A	5A	0C	00

Output	G	0	None	5A	5A	0C	00
Output	G	1	None	5A	5A	0C	00
Output	G	2	None	5A	5A	0C	00
Output	G	3	None	5A	5A	0C	00
Output	G	4	None	5A	5A	0C	00
Output	G	5	None	5A	5A	0C	00
Output	G	6	None	5A	5A	0C	00
Output	G	7	None	5A	5A	0C	00

Output	H	0	None	5A	5A	0C	00
Output	H	1	None	5A	5A	0C	00
Output	H	2	None	5A	5A	0C	00
Output	H	3	None	5A	5A	0C	00
Output	H	4	None	5A	5A	0C	00
Output	H	5	None	5A	5A	0C	00
Output	H	6	None	5A	5A	0C	00
Output	H	7	None	5A	5A	0C	00

Output	I	0	None	5A	5A	0C	00
Output	I	1	None	5A	5A	0C	00
Output	I	2	None	5A	5A	0C	00
Output	I	3	None	5A	5A	0C	00
Output	I	4	None	5A	5A	0C	00
Output	I	5	None	5A	5A	0C	00
Output	I	6	None	5A	5A	0C	00
Output	I	7	None	5A	5A	0C	00

Output	J	0	None	5A	5A	0C	00
Output	J	1	None	5A	5A	0C	00
Output	J	2	None	5A	5A	0C	00
Output	J	3	None	5A	5A	0C	00
Output	J	4	None	5A	5A	0C	00
Output	J	5	None	5A	5A	0C	00
Output	J	6	None	5A	5A	0C	00
Output	J	7	None	5A	5A	0C	00

Output	K	0	None	5A	5A	0C	00
Output	K	1	None	5A	5A	0C	00
Output	K	2	None	5A	5A	0C	00
Output	K	3	None	5A	5A	0C	00
Output	K	4	None	5A	5A	0C	00
Output	K	5	None	5A	5A	0C	00
Output	K	6	None	5A	5A	0C	00
Output	K	7	None	5A	5A	0C	00

Output	L	0	None	5A	5A	0C	00
Output	L	1	None	5A	5A	0C	00
Output	L	2	None	5A	5A	0C	00
Output	L	3	None	5A	5A	0C	00
Output	L	4	None	5A	5A	0C	00
Output	L	5	None	5A	5A	0C	00
Output	L	6	None	5A	5A	0C	00
Output	L	7	None	5A	5A	0C	00

Output	M	0	None	5A	5A	0C	00
Output	M	1	None	5A	5A	0C	00
Output	M	2	None	5A	5A	0C	00
Output	M	3	None	5A	5A	0C	00
Output	M	4	None	5A	5A	0C	00
Output	M	5	None	5A	5A	0C	00
Output	M	6	None	5A	5A	0C	00
Output	M	7	None	5A	5A	0C	00

Output	N	0	None	5A	5A	0C	00
Output	N	1	None	5A	5A	0C	00
Output	N	2	None	5A	5A	0C	00
Output	N	3	None	5A	5A	0C	00
Output	N	4	None	5A	5A	0C	00
Output	N	5	None	5A	5A	0C	00
Output	N	6	None	5A	5A	0C	00
Output	N	7	None	5A	5A	0C	00

Output	O	0	None	5A	5A	0C	00
Output	O	1	None	5A	5A	0C	00
Output	O	2	None	5A	5A	0C	00
Output	O	3	None	5A	5A	0C	00
Output	O	4	None	5A	5A	0C	00
Output	O	5	None	5A	5A	0C	00
Output	O	6	None	5A	5A	0C	00
Output	O	7	None	5A	5A	0C	00

Output	P	0	None	5A	5A	0C	00
Output	P	1	None	5A	5A	0C	00
Output	P	2	None	5A	5A	0C	00
Output	P	3	None	5A	5A	0C	00
Output	P	4	None	5A	5A	0C	00
Output	P	5	None	5A	5A	0C	00
Output	P	6	None	5A	5A	0C	00
Output	P	7	None	5A	5A	0C	00

Output	Q	0	None	5A	5A	0C	00
Output	Q	1	None	5A	5A	0C	00
Output	Q	2	None	5A	5A	0C	00
Output	Q	3	None	5A	5A	0C	00
Output	Q	4	None	5A	5A	0C	00
Output	Q	5	None	5A	5A	0C	00
Output	Q	6	None	5A	5A	0C	00
Output	Q	7	None	5A	5A	0C	00

Output	R	0	None	5A	5A	0C	00
Output	R	1	None	5A	5A	0C	00
Output	R	2	None	5A	5A	0C	00
Output	R	3	None	5A	5A	0C	00
Output	R	4	None	5A	5A	0C	00
Output	R	5	None	5A	5A	0C	00
Output	R	6	None	5A	5A	0C	00
Output	R	7	None	5A	5A	0C	00

Output	S	0	None	5A	5A	0C	00
Output	S	1	None	5A	5A	0C	00
Output	S	2	None	5A	5A	0C	00
Output	S	3	None	5A	5A	0C	00
Output	S	4	None	5A	5A	0C	00
Output	S	5	None	5A	5A	0C	00
Output	S	6	None	5A	5A	0C	00
Output	S	7	None	5A	5A	0C	00

Output	T	0	None	5A	5A	0C	00
Output	T	1	None	5A	5A	0C	00
Output	T	2	None	5A	5A	0C	00
Output	T	3	None	5A	5A	0C	00
Output	T	4	None	5A	5A	0C	00
Output	T	5	None	5A	5A	0C	00
Output	T	6	None	5A	5A	0C	00
Output	T	7	None	5A	5A	0C	00

Output	U	0	None	5A	5A	0C	00
Output	U	1	None	5A	5A	0C	00
Output	U	2	None	5A	5A	0C	00
Output	U	3	None	5A	5A	0C	00
Output	U	4	None	5A	5A	0C	00
Output	U	5	None	5A	5A	0C	00
Output	U	6	None	5A	5A	0C	00
Output	U	7	None	5A	5A	0C	00

Output	V	0	None	5A	5A	0C	00
Output	V	1	None	5A	5A	0C	00
Output	V	2	None	5A	5A	0C	00
Output	V	3	None	5A	5A	0C	00
Output	V	4	None	5A	5A	0C	00
Output	V	5	None	5A	5A	0C	00
Output	V	6	None	5A	5A	0C	00
Output	V	7	None	5A	5A	0C	00

